StateWellNumber,ParameterDescription_x,TOTAL DISSOLVED SOLIDS,wkt_geom,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription_y,ARSENIC,ParameterUnit
1204617,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.296,Point (-100.51444499999999493 34.92027800000000326),Collingsworth,110ALVM,228,5/7/2010,815,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.920278,-100.514445,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4.4,ug/L
1205911,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.399,Point (-100.39722220000000164 34.90333329999999989),Collingsworth,110ALVM,90,7/29/2015,1615,TRUE,1,24,7,Analysis Unbalanced.,34.9033333,-100.3972222,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1206707,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.787,Point (-100.33416699999999366 34.89333400000000296),Collingsworth,110ALVP,110,7/25/2006,1712,TRUE,1,24,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.893334,-100.334167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4.1,ug/L
1206918,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.498,Point (-100.28694439999999588 34.89000000000000057),Collingsworth,110ATSB,0,7/29/2015,1720,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.89,-100.2869444,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.31,ug/L
1215111,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.743,Point (-100.23416699999999935 34.85138899999999751),Collingsworth,110ALVM,120,5/5/2010,1245,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.851389,-100.234167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",5,ug/L
1215406,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",2.572,Point (-100.24500000000000455 34.82500000000000284),Collingsworth,110ALVM,120,7/26/2006,1025,TRUE,1,24,7,Analysis Balanced.,34.825,-100.245,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3,ug/L
1216607,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.44,Point (-100.01972200000000157 34.79472200000000015),Collingsworth,110ALVM,55,7/26/2006,1130,TRUE,1,24,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.794722,-100.019722,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1219104,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.711,Point (-100.72166699999999651 34.70944500000000232),Hall,112SYMR,101,9/7/2004,1617,TRUE,1,23,7,Analysis Unbalanced.,34.709445,-100.721667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.9,ug/L
1219513,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.479,Point (-100.68111100000000135 34.67388900000000262),Hall,112SYMR,70,9/8/2004,1827,TRUE,1,24,7,Analysis Balanced. Faucet after pressure tank.,34.673889,-100.681111,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3,ug/L
1219514,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",2.471,Point (-100.70000000000000284 34.67111109999999741),Hall,112SYMR,150,9/7/2004,1722,TRUE,1,24,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.6711111,-100.7,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.4,ug/L
1229414,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.472,Point (-100.46416700000000333 34.54888900000000262),Hall,110ALVM,70,5/6/2010,1145,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.548889,-100.464167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1241518,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.603,Point (-100.93555600000000538 34.29194499999999834),Motley,110ALVM,38,7/16/2015,1445,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.291945,-100.935556,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.29,ug/L
1241604,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.538,Point (-100.90166670000000693 34.31277779999999922),Motley,112SYMR,182,7/24/2006,1505,TRUE,1,24,7,Analysis Balanced.,34.3127778,-100.9016667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4.42,ug/L
1242404,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.406,Point (-100.84916669999999783 34.32972219999999908),Hall,112SYMR,75,7/29/2015,1421,TRUE,1,24,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.3297222,-100.8491667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",7,ug/L
1345206,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.3,Point (-99.41972199999999305 34.34777799999999814),Wilbarger,110ALVM,83,7/15/2010,900,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.347778,-99.419722,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1346106,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.492,Point (-99.35694440000000327 34.3641666999999984),Wilbarger,110ALVM,92,7/2/2015,1405,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.3641667,-99.3569444,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1346128,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.107,Point (-99.37138899999999353 34.33527800000000241),Wilbarger,110ALVM,64,8/8/2006,1505,TRUE,1,24,7,Analysis Balanced. installed faucet at well,34.335278,-99.371389,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",1,ug/L
1346409,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.476,Point (-99.34000000000000341 34.32527780000000206),Wilbarger,110ALVM,105,8/8/2006,1610,TRUE,1,24,7,Analysis Balanced. faucet after press tank,34.3252778,-99.34,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1346507,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",3.149,Point (-99.31111199999999428 34.33222200000000157),Wilbarger,110ALVM,92,8/8/2006,1345,TRUE,1,24,7,Analysis Balanced. hand pump from disch valve,34.332222,-99.311112,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",1,ug/L
1354806,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.549,Point (-99.3233330000000052 34.15416700000000105),Wilbarger,110ALVM,41,8/9/2006,936,TRUE,1,24,7,Analysis Unbalanced. faucet at disch pipe,34.154167,-99.323333,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1354829,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.56,Point (-99.3016669999999948 34.13111099999999709),Wilbarger,110ALVM,41,8/9/2006,1528,TRUE,1,24,7,Analysis Balanced. faucet at well,34.131111,-99.301667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1355803,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.483,Point (-99.19249999999999545 34.14416700000000304),Wilbarger,110ALVM,33,8/21/2006,1714,TRUE,1,24,7,Analysis Balanced. faucet after press tank,34.144167,-99.1925,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1356805,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.816,Point (-99.0563889999999958 34.15527800000000269),Wilbarger,110ALVM,24,8/8/2006,1658,TRUE,1,24,7,Analysis Balanced. faucet at well house,34.155278,-99.056389,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1360420,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",5.236,Point (-99.6161120000000011 34.05583399999999727),Foard,112SYMR,36,7/14/2015,1058,TRUE,1,24,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.055834,-99.616112,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",5.06,ug/L
1360508,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.792,Point (-99.57527779999999495 34.05416670000000323),Foard,112SYMR,32,7/14/2015,1215,TRUE,1,24,7,Analysis Unbalanced.,34.0541667,-99.5752778,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3,ug/L
1361609,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.24,Point (-99.40555600000000425 34.04972200000000271),Wilbarger,110ALVM,51,8/4/2010,800,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.049722,-99.405556,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.5,ug/L
1361647,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.428,Point (-99.38444499999999948 34.04916699999999707),Wilbarger,110ALVM,37,8/9/2006,1148,TRUE,1,24,7,Analysis Balanced. faucet after press tank,34.049167,-99.384445,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",1,ug/L
1362161,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.669,Point (-99.36472299999999791 34.08944499999999778),Wilbarger,110ALVM,38,8/8/2006,1400,TRUE,1,24,7,Analysis Unbalanced.,34.089445,-99.364723,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1449806,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.665,Point (-98.92333329999999592 34.15555559999999957),Wichita,110AHTP,30,7/12/2006,1340,TRUE,1,24,7,Analysis Balanced.,34.1555556,-98.9233333,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1449823,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.822,Point (-98.93251669999999365 34.15703890000000342),Wichita,110ALVM,37,7/1/2015,1354,TRUE,1,23,7,Analysis Balanced. Faucet on discharge,34.1570389,-98.9325167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
